Station,River Name,Station Name,Latitude co-ordinate,Longitude co-ordinate
T-1,Turag,AIUB Field,23.8866,90.392
T-2,Turag,Arabi Plastic Recycle,23.8917,90.3894
T-3,Turag,Soil Packaging & Trims LtD.,23.8958,90.37
T-4,Turag,Akij ready-mix concrete LTD.,23.8868,90.3583
T-5,Turag,J T E G China project,23.8771,90.3516
T-6,Turag,Aggregate Terminal -3,23.8584,90.3457
T-7,Turag,Path builders LTD,23.8375,90.3381
T-8,Turag,Akij Asphalt ( Akij Building solution LTD),23.8237,90.3392
B-9,Buriganga,Pias parking Nababer Bag,23.8089,90.3401
B-10,Buriganga,Jahanabad Baitur Rahman Jame mosjid,23.7912,90.3399
B-11,Buriganga,Dipnogor koyla godi,23.7759,90.3349
B-12,Buriganga,Buriganga River side,23.7612,90.3381
B-13,Buriganga,TAHA Bricks,23.7478,90.335
B-14,Buriganga,Unimax avonee daiper,23.7413,90.3496
B-15,Buriganga,Ashpiya dairy & goat farm,23.7191,90.3606
B-16,Buriganga,"Habib industries, Dhaka",23.7081,90.3712
B-17,Buriganga,Chandir Ghat,23.7111,90.3917
B-18,Buriganga,Lalkuthi Launch terminal,23.7039,90.4119
D-19,Dhaleswari,Postogola Bridge ( Army Camp),23.6898,90.4263
D-20,Dhaleswari,CSMR,23.6715,90.4477
D-21,Dhaleswari,Bangladesh cost guard station,23.6565,90.4593
D-22,Dhaleswari,Fatullah DIT Gorur Haat,23.6417,90.4721
D-23,Dhaleswari,ACI premeio plastics,23.6312,90.4607
D-24,Dhaleswari,PHM Ship Building and Dock yard,23.6202,90.4569
D-25,Dhaleswari,Toha Bricks Camp ground,23.6038,90.4659
D-26,Dhaleswari,Dicrirchar ferry wharf,23.5958,90.4749
S-27,Shitalakshya,Molla Salt (Triple Refined) Inds.Ltd Factory,23.5794,90.5045
S-28,Shitalakshya,Dewan Ice & Cold Storage,23.5703,90.5154
S-29,Shitalakshya,Metrocem Cement Limited,23.5758,90.5175
S-30,Shitalakshya,Premier Cement Mills PLC,23.5822,90.5125
S-31,Shitalakshya,Thana Ghat (Feri Ghat),23.6058,90.5075
S-32,Shitalakshya,Modern Food Storage Facilities Narayanganj ,23.6221,90.5103
S-33,Shitalakshya,AKIJ ESSENTIALS LIMITED (FLOUR & DAAL MILL),23.6405,90.5204
S-34,Shitalakshya,Sonachara Dockyard -01,23.6665,90.5281
S-35,Shitalakshya,"Haripur Power Limited, 360 MW Combined Cycle Power ",23.6765,90.5328
S-36,Shitalakshya,Nawab Abdul Malek Jute Mills Ltd.,23.7011,90.5212
S-37,Shitalakshya,Sonali Paper & Board Mills,23.7159,90.5068
S-38,Shitalakshya,Nowapara Boat Ghat,23.7313,90.5084
